	MSG2	SG2	MSG4	SG4	MSG8	SG8	MSG16	SG16	MSG32	SG32	MSG64	SG64	MSG128	SG128	MSG256	SG256	MSG512	SG512	MSG1024	SG1024	MSG2048	SG2048
YP-130	0.332	0.409	0.383	0.383	0.347	0.373	0.321	0.36	0.324	0.368	0.326	0.36	0.344	0.376	0.216	0.261	0.211	0.23	0.169	0.197	0.221	0.183
WS-353	0.629	0.667	0.642	0.669	0.658	0.666	0.644	0.666	0.655	0.665	0.618	0.621	0.616	0.625	0.604	0.64	0.535	0.571	0.538	0.521	0.487	0.505
WS-353-SIM	0.54	0.54	0.517	0.555	0.542	0.548	0.535	0.554	0.55	0.561	0.52	0.542	0.545	0.549	0.487	0.496	0.409	0.451	0.405	0.404	0.347	0.378
WS-353-REL	0.58	0.603	0.572	0.608	0.596	0.605	0.58	0.604	0.593	0.601	0.566	0.571	0.569	0.576	0.542	0.552	0.478	0.514	0.454	0.447	0.405	0.418
Verb-143	0.395	0.418	0.396	0.413	0.397	0.411	0.401	0.404	0.401	0.419	0.366	0.38	0.388	0.377	0.335	0.343	0.349	0.361	0.313	0.287	0.23	0.225
SimVerb-3500	0.234	0.259	0.236	0.256	0.232	0.252	0.237	0.244	0.241	0.247	0.228	0.23	0.21	0.216	0.188	0.192	0.161	0.174	0.106	0.124	0.091	0.101
SimLex-999	0.335	0.346	0.342	0.344	0.343	0.353	0.339	0.344	0.344	0.344	0.333	0.332	0.322	0.319	0.299	0.309	0.259	0.279	0.227	0.24	0.2	0.223
Rare-Word	0.408	0.488	0.441	0.5	0.439	0.485	0.45	0.476	0.427	0.439	0.43	0.438	0.384	0.4	0.399	0.416	0.469	0.485	0.401	0.448	0.365	0.437
RG-65	0.48	0.532	0.489	0.543	0.504	0.538	0.555	0.558	0.52	0.543	0.493	0.5	0.44	0.479	0.386	0.377	0.326	0.329	0.249	0.252	0.111	0.106
MTurk-771	0.547	0.555	0.55	0.558	0.551	0.56	0.558	0.559	0.545	0.548	0.538	0.548	0.529	0.533	0.473	0.495	0.46	0.477	0.376	0.357	0.306	0.32
MTurk-287	0.666	0.67	0.665	0.668	0.655	0.675	0.675	0.672	0.654	0.666	0.66	0.643	0.632	0.629	0.59	0.618	0.607	0.611	0.519	0.524	0.393	0.474
MEN	0.614	0.655	0.629	0.657	0.635	0.651	0.64	0.655	0.633	0.643	0.614	0.624	0.586	0.599	0.546	0.56	0.475	0.506	0.398	0.424	0.34	0.377
MC-30	0.552	0.547	0.531	0.536	0.533	0.567	0.581	0.558	0.545	0.558	0.49	0.485	0.559	0.579	0.48	0.528	0.192	0.311	0.111	0.079	-0.202	-0.154
																						
																						
																						
	no_w2v	pretrained	MSG2	MSG4	MSG8	MSG16	MSG32	MSG64	MSG128	MSG256	MSG512	MSG1024	MSG2048									
val.loss	0.581	0.633	0.572	0.565	0.568	0.572	0.57	0.566	0.564	0.566	0.562	0.563	0.564									
R^2	0.258	0.213	0.273	0.276	0.276	0.275	0.277	0.277	0.278	0.277	0.279	0.28	0.279									
